family,field,method,n,success_rate_mean,success_rate_se,distractor_rate_mean,distractor_rate_se,mean_progress_mean,mean_progress_se,regret_mean,regret_se,ranking_margin_mean,ranking_margin_se,endpoint_error_mean,endpoint_error_se
D,conveyor,causal_residual,12,1.0,0.0,0.0,0.0,0.9151199260859805,0.000887047690934995,0.01635551737100264,0.0004398919314554867,0.153653462313255,0.0009531441879521001,1.144352474423756,0.0001423258265857639
D,conveyor,global_removed,12,0.0,0.0,1.0,0.0,0.041958673543786455,0.0006080510535850638,0.8895167699131967,0.0011262221268471173,0.153653462313255,0.0009531441879521001,1.1944163950291673,0.00018254416304309357
D,conveyor,oracle_effect,12,1.0,0.0,0.0,0.0,0.9314754434569831,0.0007645146016353867,0.0,0.0,0.153653462313255,0.0009531441879521001,1.1441534479827289,0.00014742134176376706
D,conveyor,total_flow,12,0.0,0.0,1.0,0.0,0.041958673543786455,0.0006080510535850638,0.8895167699131967,0.0011262221268471173,0.153653462313255,0.0009531441879521001,0.027923720251941994,3.0686472291768856e-05
D,ego_motion,causal_residual,12,1.0,0.0,0.0,0.0,0.9165283677769489,0.0009108481381764497,0.01659191057530389,0.00016859792294432878,0.15540553106665744,0.0008794784163334913,1.5439807430458259,0.00020198524010010642
D,ego_motion,global_removed,12,0.0,0.0,1.0,0.0,0.04225529719145706,0.0005330621731613741,0.8908649811607958,0.0009869720320886575,0.15540553106665744,0.0008794784163334913,1.5942363830073345,0.0001578557643788346
D,ego_motion,oracle_effect,12,1.0,0.0,0.0,0.0,0.9331202783522529,0.0008591533559606559,0.0,0.0,0.15540553106665744,0.0008794784163334913,1.5439595707795801,0.00014192490252600343
D,ego_motion,total_flow,12,0.0,0.0,1.0,0.0,0.04225529719145706,0.0005330621731613741,0.8908649811607958,0.0009869720320886575,0.15540553106665744,0.0008794784163334913,0.027940163024588727,2.6190060635136033e-05
D,none,causal_residual,12,1.0,0.0,0.0,0.0,0.916103751241827,0.0004839320750297538,0.016548253157250573,0.0002471534479698417,0.15487949239282542,0.0007130926387693711,0.4139517943664328,0.00016287327868182573
D,none,global_removed,12,0.0,0.0,1.0,0.0,0.04200309589107932,0.0006870820869136314,0.8906489085079982,0.0007351117902060489,0.15487949239282542,0.0007130926387693711,0.3944080823026654,0.00011608667176817631
D,none,oracle_effect,12,1.0,0.0,0.0,0.0,0.9326520043990776,0.0004749226340407209,0.0,0.0,0.15487949239282542,0.0007130926387693711,0.36995346302095095,0.00011154930004459136
D,none,total_flow,12,0.0,0.0,1.0,0.0,0.04200309589107932,0.0006870820869136314,0.8906489085079982,0.0007351117902060489,0.15487949239282542,0.0007130926387693711,0.027906331151683325,2.6796060693204605e-05
D,smooth_local,causal_residual,12,1.0,0.0,0.0,0.0,0.9170008839190672,0.0007787667205680111,0.016483734877064348,0.0002783427135013373,0.15610533940835258,0.000885049635558782,1.5449816386367143,0.00015383726533659667
D,smooth_local,global_removed,12,0.0008928571428571428,0.00019904301036525456,0.9991071428571429,0.00019904301036525584,0.025696648647024454,0.0006045398187987882,0.9077879701491071,0.0007812481985087153,0.15610533940835258,0.000885049635558782,1.595144077631084,0.0002426578343719379
D,smooth_local,oracle_effect,12,1.0,0.0,0.0,0.0,0.9334846187961316,0.0006660312661073228,0.0,0.0,0.15610533940835258,0.000885049635558782,1.5449128117275535,0.0001869928279942335
D,smooth_local,total_flow,12,0.0008928571428571428,0.00019904301036525456,0.9991071428571429,0.00019904301036525584,0.025696648647024454,0.0006045398187987882,0.9077879701491071,0.0007812481985087153,0.15610533940835258,0.000885049635558782,0.02796392870793026,3.632394970090514e-05
